"child_sex","Exposure_name_corr","n_CpGs"
"both_sexes","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)",13434
"both_sexes","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)",2593
"both_sexes","Molar sum of di(2-ethylhexyl) phthalate (DEHP) metabolites (ΣDEHP)",1809
"both_sexes","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)",147
"both_sexes","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)",52
"both_sexes","Mono-2-carboxymethylhexyl phthalate (MMCHP)",48
"both_sexes","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)",29
"both_sexes","Mono-2-ethyl-5oxo-hexyl phthalate (MEOHP)",15
"both_sexes","Mono-n-butyl phthalate (MnBP)",8
"both_sexes","Methylparaben (MEPA)",6
"both_sexes","Mono-iso-butyl phthalate (MiBP)",6
"both_sexes","Mono-2-ethylhexyl phthalate (MEHP)",2
"both_sexes","Ethylparaben (ETPA)",1
"both_sexes","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)",1
"Female","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)",30354
"Female","Molar sum of di(2-ethylhexyl) phthalate (DEHP) metabolites (ΣDEHP)",23683
"Female","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)",14155
"Female","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)",2271
"Female","Mono-2-ethyl-5oxo-hexyl phthalate (MEOHP)",1252
"Female","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)",604
"Female","Mono-2-ethylhexyl phthalate (MEHP)",589
"Female","Mono-2-carboxymethylhexyl phthalate (MMCHP)",573
"Female","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)",142
"Female","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)",93
"Female","Monobenzyl phthalate (MBzP)",67
"Female","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)",58
"Female","Mono-n-butyl phthalate (MnBP)",34
"Female","Monoethyl phthalate (MEP)",32
"Female","Mono-iso-butyl phthalate (MiBP)",30
"Female","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)",24
"Female","Bisphenol A (BPA)",9
"Female","Propylparaben (PRPA)",4
"Female","Mono-6-hydroxy-propylheptyl phthalate (OH-MPHP)",4
"Female","Methylparaben (MEPA)",2
"Female","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)",1
"Female","Butylparaben (BUPA)",1
"Male","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)",1182
"Male","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)",677
"Male","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)",405
"Male","Mono-6-hydroxy-propylheptyl phthalate (OH-MPHP)",90
"Male","Mono-2-carboxymethylhexyl phthalate (MMCHP)",58
"Male","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)",28
"Male","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)",22
"Male","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)",21
"Male","Ethylparaben (ETPA)",18
"Male","Monoethyl phthalate (MEP)",12
"Male","Methylparaben (MEPA)",10
"Male","Molar sum of di(2-ethylhexyl) phthalate (DEHP) metabolites (ΣDEHP)",8
"Male","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)",8
"Male","Mono-2-ethyl-5oxo-hexyl phthalate (MEOHP)",6
"Male","Benzophenone-3 (BP-3)",5
"Male","Mono-iso-butyl phthalate (MiBP)",4
"Male","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)",3
"Male","Bisphenol A (BPA)",2
"Male","Propylparaben (PRPA)",2
"Male","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)",2
"Male","Mono-2-ethylhexyl phthalate (MEHP)",1
"Male","Bisphenol S (BPS)",1
