"Exposure_long","Expo_family","Exposure","LOD","pct_det_t2","pct_det_t3","p5_t2","median_t2","p95_t2","p5_t3","median_t3","p95_t3","p5_av","median_av","p95_av","p5_av_red","median_av_red","p95_av_red"
"Bisphenol A","Phenol","BPA",0.04,99.7,98.2,0.651478,1.82716,8.331,0.473757,1.675597,7.832,0.73,1.99,7.8,0.75,1.99,6.9
"Bisphenol B","Phenol","BPS",0.1,24.2,28,0.070711,0.070711,2.516,0.070711,0.070711,2.763,0.07,0.07,3.7,0.07,0.07,3
"Benzophenone-3","Phenol","BP3",0.04,100,99.7,0.177576,0.806999,17.67,0.173969,0.705703,11.529,0.21,0.85,16,0.22,0.85,12.9
"Methylparaben","Phenol","MEPA",0.04,100,100,2.299427,10.507128,235.813,2.101683,11.269144,1675.626,2.99,15.11,969.7,3.23,15.11,860.8
"Ethylparaben","Phenol","ETPA",0.04,99.7,100,0.282508,0.869936,38.069,0.259333,0.920804,34.182,0.36,0.98,41.7,0.36,0.98,34.5
"Propylparaben","Phenol","PRPA",0.04,78.4,77.4,0.004059,0.335462,45.885,0.002953,0.442006,110.417,0.02,0.77,88.5,0.02,0.77,67.8
"Butylparaben","Phenol","BUPA",0.07,24.4,23.1,0.049497,0.049497,0.602,0.049497,0.049497,0.827,0.05,0.05,0.8,0.05,0.05,0.7
"MEP","Phthalate","MEP",0.2,100,100,6.40263,23.378283,148.955,4.957952,20.066963,135.605,6.52,23.87,139.6,6.84,23.87,126.2
"MnBP","Phthalate","MnBP",0.2,100,100,4.894235,10.477318,33.196,3.997505,11.248059,31.817,5.24,11.46,32.7,5.42,11.46,29.9
"MiBP","Phthalate","MiBP",0.2,100,100,6.326478,15.050476,44.45,5.401847,14.774551,49.061,6.68,15.6,46.2,6.87,15.6,42.4
"MBzP","Phthalate","MBzP",0.07,100,100,1.53829,4.51427,15.352,1.498094,4.11381,16.859,1.83,4.59,15,1.92,4.59,12.9
"OH-MPHP","Phthalate","ohMPHP",0.07,100,100,0.506766,0.8559,2.759,0.480121,0.810342,2.432,0.55,0.85,2.7,0.56,0.85,2.4
"?DiNP","Phthalate","DiNP",NA,0,0,0.017609,0.040305,0.201,0.017288,0.036156,0.167,0.02,0.05,0.2,0.02,0.05,0.2
"OH-MiNP","Phthalate","ohMiNP",0.1,100,100,1.62658,4.9398,27.061,1.49096,4.4644,27.208,1.92,5.83,29.3,2.04,5.83,26.8
"oxo-MiNP","Phthalate","oxoMiNP",0.1,100,100,0.839182,2.188161,14.065,0.748954,1.9375,12.066,0.96,2.32,13.6,1.02,2.32,12.2
"?DEHP","Phthalate","DEHP",NA,0,0,0.055101,0.106068,0.319,0.051229,0.10583,0.279,0.06,0.11,0.3,0.06,0.11,0.3
"MECPP","Phthalate","MECPP",0.7,100,100,5.330651,9.631137,27.433,5.206409,9.989745,26.651,6.1,10.35,24.5,6.15,10.35,23.8
"MEHHP","Phthalate","MEHHP",0.2,100,100,3.240353,6.908,24.107,2.778644,6.942637,21.287,3.65,7.37,20,3.7,7.37,19.4
"MEHP","Phthalate","MEHP",0.2,100,99.7,0.768885,2.338933,8.383,0.47523,1.957104,6.924,0.77,2.3,6.9,0.79,2.3,6.4
"MEOHP","Phthalate","MEOHP",0.2,100,100,2.284677,4.836,17.18,2.017725,5.162938,15.105,2.52,5.38,14.6,2.57,5.38,13.7
"MMCHP","Phthalate","MMCHP",0.7,99.7,99.5,4.230016,7.421169,19.735,4.052595,7.389619,20.323,4.59,7.73,19,4.69,7.73,18.4
"?DINCH","Phthalate","DINCH",NA,0,0,0.004445,0.010356,0.085,0.003837,0.009715,0.057,0.01,0.01,0.1,0.01,0.01,0.1
"OH-MINCH","Phthalate","ohMINCH",0.07,100,100,0.736645,1.759809,15.534,0.626661,1.572509,10.218,0.84,1.85,13.8,0.86,1.85,11.9
"oxo-MINCH","Phthalate","oxoMINCH",0.07,100,100,0.62869,1.4999,10.824,0.57366,1.505387,7.946,0.71,1.69,10.6,0.74,1.69,9.7
