expo_family,expo_subfamily,exposure,child_sex,Term,Overlap,P.value,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
phenol,"",aver_log2_BP3,Male,Echocardiography,34/273,1.55135131989655e-09,3.31989182457861e-07,3.68632375689977,74.7739052037778,DMGDH;GABRB2;GUCY1B2;SLC24A3;CPNE4;COL12A1;ATP10B;SIPA1L2;TMEM163;SYNE1;FSTL5;PDE4B;DLGAP1;GPC5;GPC6;CLVS1;RBFOX1;TRPC4;TMEM132B;PDE4D;MAGI2;KCNIP4;RASSF8;SORCS1;PXDNL;ESRRG;CACNA2D4;PLXDC2;B3GALTL;KIAA0922;ZNF780B;XKR4;UTRN;ZMYND11
phenol,"",aver_log2_BP3,Male,Leukocyte Count,8/40,0.000116630892229307,0.0022843086436505,6.32444005270092,57.2772684251456,RBFOX1;FNDC3B;DLGAP1;AK5;ASIC2;UTRN;GPC6;ANKS1B
phenol,"",aver_log2_BP3,Male,Lipoprotein(a),5/21,0.000998218840429799,0.0095843374342158,7.8809875328084,54.4539830459132,TIAM2;IRS1;CPNE4;PRKG1;SYNE1
phenol,"",aver_log2_BP3,Male,Sleep,7/35,0.000312025271063309,0.0043076578166874,6.31743421052632,50.9970225524587,PRKCB;PDE4D;DLGAP1;SORCS1;NAALADL2;ANKS1B;OPCML
phenol,"",aver_log2_BP3,Male,Body Mass Index,43/437,1.67860591197798e-08,1.79610832581644e-06,2.83982457862411,50.8405760712085,RALA;CAMK2D;VIPR2;MCTP1;STAU2;CPNE4;SDC2;NRXN3;IL5RA;TMTC2;ATP10A;TMTC1;GALNT10;ACACA;BAIAP2L2;DPP6;KCNT1;DLGAP1;CTNNA2;ASIC2;ANKS1B;OPCML;EVC2;CNTN5;KCNIP4;SLC16A12;RASSF8;SORCS1;CDKAL1;TRAPPC9;PLXDC2;ARHGAP26;OXR1;NAALADL2;FAM155A;FRAS1;RIT2;TMEM117;LY86-AS1;MCTP2;VIP;STAM2;GZF1
phenol,"",aver_log2_BP3,Male,"Cholesterol, LDL",32/304,2.55143291450708e-07,1.36501660926129e-05,3.03497398959584,46.0752771099355,RALA;SLC24A3;THSD7B;MAST4;NRXN1;COL11A2;FMN1;TRHDE;FSTL5;UBR5;PHACTR1;ANKS1B;RBFOX1;OSBPL6;MUSK;LIMCH1;PDE4D;MAGI2;KCNIP4;ANK2;CACNA2D4;ANK3;GABRG3;SND1;TRHR;B3GALTL;FAM155A;GPAM;FAM163A;CLNK;LY86-AS1;PLEC
phenol,"",aver_log2_BP3,Male,Monocytes,7/37,0.000446953553338492,0.00531378113413541,5.89565789473684,45.4735387694754,RBFOX1;PDZD2;NTM;CELF4;PAX5;PLXDC2;GPC6
phenol,"",aver_log2_BP3,Male,Blood Pressure,42/454,1.39330384641244e-07,9.93890077107539e-06,2.64640776699029,41.7772988275373,DMGDH;DOCK4;SLC24A3;NRXN1;PRKAG2;NAT10;CYP19A1;HDAC9;SLC6A3;SYNE1;PDE4B;STXBP6;CTNNA2;ASIC2;GPC6;PRKG1;OPCML;GUCY1A3;TRPC4;KCNIP4;NFATC2;PXDNL;ANK2;SORCS1;ATP2B2;LEPREL1;BTNL2;PTPN14;NAALADL2;MORN1;MYO1E;TIAM1;FAM155A;MPPED1;TBC1D4;TMEM117;CPE;MTFR1;XKR4;CPVL;RSL24D1;SHANK2
phenol,"",aver_log2_BP3,Male,Amyotrophic Lateral Sclerosis,11/76,0.000144802288267718,0.00258230747410763,4.29076109076109,37.9309342203892,TIAM1;RBFOX1;DPP6;KCNIP4;PDE4B;ITPR2;DLGAP1;CD1E;SHB;SIPA1L2;GRIN2B
phenol,"",aver_log2_BP3,Male,Hip,22/202,1.09105377569768e-05,0.000333550725713291,3.12577181208054,35.7143856469549,OR51G2;ZHX3;THSD7B;CNTN5;CPNE4;NTM;PDE4D;MAGI2;TMTC2;NRG1;ST18;PHF20L1;B3GALTL;TIAM1;DPP6;TLDC1;DLGAP1;GPC5;MBP;PHACTR1;MET;PRKG1
phenol,"",aver_log2_BP3,Male,Mental Competency,7/42,0.000991995156957003,0.0095843374342158,5.0521052631579,34.939310843401,DPP6;KIAA0922;PDE4D;GPC5;MALRD1;HDAC9;SND1
