"Expo_family","Exposure","Females and males","Females","Males"
"Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)",4,0,0
"Phthalate","Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP)",3,0,0
"Phthalate","Molar sum of DEHP metabolites (ΣDEHP)",3,0,0
"Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)",3,2,4
"Phenol","Ethylparaben (ETPA)",2,2,3
"Phenol","Methylparaben (MEPA)",2,0,1
"Phthalate","Mono(2-ethyl-5-carboxypentyl) phthalate (MECPP)",2,0,0
"Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)",2,1,8
"Phenol","Bisphenol A (BPA)",1,0,5
"Phenol","Benzophenone-3 (BP-3)",1,0,0
"Phenol","Propylparaben (PRPA)",1,4,6
"Phenol","Butylparaben (BUPA)",1,0,4
"Phthalate","6-hydroxy monopropylheptyl phthalate (OH-MPHP)",1,0,0
"Phthalate","Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP)",1,0,0
"Phthalate","Mono-2-carboxymethyl hexyl phthalate (MMCHP)",1,0,0
"Phthalate","Mono-2-ethylhexyl phthalate (MEHP)",0,5,2
"Phthalate","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)",0,4,0
"Phthalate","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)",0,4,0
"Phenol","Bisphenol S (BPS)",0,3,1
"Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)",0,2,4
"Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)",0,2,1
"Phthalate","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)",0,2,0
"Phthalate","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)",0,2,0
"Phthalate","Monoethyl phthalate (MEP)",0,1,1
"Phthalate","Mono-iso-butyl phthalate (MiBP)",0,1,1
"Phthalate","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)",0,1,1
"Phthalate","Mono-6-hydroxy-propylheptyl phthalate (OH-MPHP)",0,1,0
"Phthalate","Mono-2-ethyl-5oxo-hexyl phthalate (MEOHP)",0,1,0
"Phthalate","Molar sum of di(2-ethylhexyl) phthalate (DEHP) metabolites (ΣDEHP)",0,1,0
"Phthalate","Mono-2-carboxymethylhexyl phthalate (MMCHP)",0,1,0
