"child_sex","Expo_family","Exposure","Gene","Hg19","No. of probes","Slk p-value","Sidak p-value","Direction of effect"
"Females and males","Phenol","Bisphenol A (BPA)","CCDC144NL;CCDC144NL","chr17:20799408-20799533",5,"3.25e-09","1.96e-05","-"
"Females and males","Phenol","Benzophenone-3 (BP-3)","","chr14:106967956-106967994",2,"4.06e-07","8.01e-03","-"
"Females and males","Phenol","Benzophenone-3 (BP-3)","TSTD1;TSTD1;TSTD1","chr1:161008644-161008827",5,"2.68e-09","1.10e-05","+"
"Females and males","Phenol","Ethylparaben (ETPA)","","chr17:1134906-1134912",3,"2.77e-08","3.47e-03","+"
"Females and males","Phenol","Ethylparaben (ETPA)","RIMS1","chr6:72596135-72596302",7,"6.51e-09","2.93e-05","+"
"Females and males","Phenol","Ethylparaben (ETPA)","ZIM2;PEG3;ZIM2;ZIM2;PEG3;PEG3;PEG3;MIMT1;ZIM2;PEG3;PEG3;PEG3;ZIM2;ZIM2;PEG3","chr19:57352014-57352186",7,"1.97e-08","8.63e-05","+"
"Females and males","Phenol","Methylparaben (MEPA)","ALOX12","chr17:6899207-6899381",7,"1.46e-08","6.33e-05","+"
"Females and males","Phenol","Methylparaben (MEPA)","C1orf111","chr1:162343785-162343862",2,"2.63e-09","2.57e-05","+"
"Females and males","Phenol","Methylparaben (MEPA)","GRIK1-AS1;GRIK1-AS1;GRIK1;GRIK1","chr21:31121163-31121245",3,"2.25e-08","2.07e-04","+"
"Females and males","Phenol","Methylparaben (MEPA)","GTF2F2","chr13:45717552-45717663",2,"2.30e-08","1.56e-04","+"
"Females and males","Phenol","Methylparaben (MEPA)","ME3;ME3;ME3;ME3","chr11:86383430-86383479",4,"2.18e-07","3.34e-03","-"
"Females and males","Phenol","Methylparaben (MEPA)","UBE2U","chr1:64669336-64669492",7,"2.52e-08","1.22e-04","+"
"Females and males","Phenol","Propylparaben (PRPA)","APC;APC;APC","chr5:112073348-112073614",12,"3.60e-10","1.02e-06","-"
"Females and males","Phenol","Propylparaben (PRPA)","MLL3","chr7:152063901-152063975",3,"1.86e-09","1.89e-05","-"
"Females and males","Phthalate","6-hydroxy monopropylheptyl phthalate (OH-MPHP)","ADAM32","chr8:38964858-38965027",5,"8.76e-08","3.90e-04","+"
"Females and males","Phthalate","6-hydroxy monopropylheptyl phthalate (OH-MPHP)","CCDC144A","chr17:16593582-16593614",4,"1.09e-09","2.55e-05","+"
"Females and males","Phthalate","Mono(2-ethyl-5-carboxypentyl) phthalate (MECPP)","NBLA00301;HAND2","chr4:174450353-174450444",3,"2.36e-09","1.95e-05","+"
"Females and males","Phthalate","Mono(2-ethyl-5-carboxypentyl) phthalate (MECPP)","SCAND3;SCAND3","chr6:28554964-28555231",9,"3.76e-12","1.06e-08","+"
"Females and males","Phthalate","Mono(2-ethyl-5-carboxypentyl) phthalate (MECPP)","TCL1A;TCL1A;TCL1A;TCL1A;TCL1A","chr14:96180507-96180649",5,"1.42e-08","7.51e-05","+"
